Main Topics,Subtopics,Details,Links,Video Links
,Recursion on Arrays,Q. How to apply recursion on arrays,,https://youtu.be/I0vBNGExLuM
,,Q. Print array left to right using recursion,Video-only problem,
,,Q. Print array right to left using recursion,Video-only problem,
,,Q. Check if target is present in array,Video-only problem,
,,Q. Find first occurrence of element in array,Video-only problem,
,,Q. Find last occurrence of element in array,Video-only problem,
,,Q. Find Index,https://www.geeksforgeeks.org/problems/find-index4752/1,
,,Q. Find all occurrence,Video-only problem,
,,Q. Binary search using recursion,Video-only problem,
,Recursion on Strings,recursion on strings,,https://youtu.be/kCVN00Cywjc
,,Q. Print string,Video-only problem,
,,Q. Reverse print string,Video-only problem,
,,Q. Check palindrome,Video-only problem,
,,Q. Remove a char from string,Video-only problem,
,,Q. Replace PI with 3.14,Video-only problem,
,,Q. Count and say,https://leetcode.com/problems/count-and-say/description/,
,Recursion on Subsequences,What is a subsequence,,https://youtu.be/ch9pGT8KXxY
,,Q. Print all subsequence of a string,Video-only problem,
,,Q. Count all subsequence of string,Video-only problem,
,Questions on recursion,Q. Josephus problem - Find the Winner of the Circular Game,https://leetcode.com/problems/find-the-winner-of-the-circular-game/description/,https://youtu.be/2dN4ktn6D1k?si=zPPFxgG8dv_VvHnm
Backtracking,Backtracking,Backtracking and All it's variants,,https://youtu.be/9HTOWRiwYOI
,,Q. Subsets -1,https://leetcode.com/problems/subsets/description/,
,,Q. Subsets -2,https://leetcode.com/problems/subsets-ii/description/,
,,Q. Permutations -1,https://leetcode.com/problems/permutations/description/,
,,Q. Permutations -2,https://leetcode.com/problems/permutations-ii/description/,
,,Q. Letter Combination of a Phone Number,https://leetcode.com/problems/letter-combinations-of-a-phone-number/description/,
,,Q. Generate Parentheses,https://leetcode.com/problems/generate-parentheses/description/,
,,Q. Combination Sum -1,https://leetcode.com/problems/combination-sum/description/,
,,Q. Combination Sum -2,https://leetcode.com/problems/combination-sum-ii/description/,
,,Q. N Queens problem,https://leetcode.com/problems/n-queens/description/,
,,Q. Sudoku Solver,https://leetcode.com/problems/sudoku-solver/description/,
,,Q. Pallindrome Partitioning,https://leetcode.com/problems/palindrome-partitioning/description/,
,More questions on backtracking,Q. Rat in a Maze,https://www.geeksforgeeks.org/problems/rat-in-a-maze-problem/1,https://youtu.be/tym5THS4Nk8
,,Q. Knights tour problem,https://www.geeksforgeeks.org/problems/the-knights-tour-problem/1,https://youtu.be/TZb-bAAMuzY
,,Q. Word Search ,https://leetcode.com/problems/word-search/description/,https://youtu.be/HBboUqC-rZ0?si=dcEMaByR0gfChsBs
Divide and Conquer,Divide and Conquer,Q. Merge Sort,https://www.geeksforgeeks.org/problems/merge-sort/1,https://youtu.be/oviqkqemCRY?si=rMjLaDHLbjDVdKvc
,,Q. Quick Sort,https://www.geeksforgeeks.org/problems/quick-sort/1,https://youtu.be/RFbZx9nTB3s?si=wCJ1lyskolGze6pb
,,Q. Count Inversion,https://www.geeksforgeeks.org/problems/inversion-of-array-1587115620/1,https://youtu.be/lm4WEMpc5p0
Dynamic Programming (DP),Dynamic Programming Part 1,Overlapping Subproblems,,https://youtu.be/P3MFBCZCGXs?si=FNhk7mjC7Cf0MZRD
,,Optimal Substructures,,
,,Q. Fibonacci Number,https://leetcode.com/problems/fibonacci-number/description/,
,,Q. Climbing Stairs,https://leetcode.com/problems/climbing-stairs/description/,
,,Q. Counting Bits,https://leetcode.com/problems/counting-bits/description/,
,,Q. Min Cost Climbing Stairs,https://leetcode.com/problems/min-cost-climbing-stairs/description/,
,,Q. House Robber 1,https://leetcode.com/problems/house-robber/description/,
,,Q. House Robber 2,https://leetcode.com/problems/house-robber-ii/description/,
,,Q. Check if there exist a subsequence with sum K,https://www.geeksforgeeks.org/problems/check-if-there-exists-a-subsequence-with-sum-k/0,
,,Q. Perfect Sum Problem,https://www.geeksforgeeks.org/problems/perfect-sum-problem5633/0,
,,Q. 01 Knapsack Problem,https://www.geeksforgeeks.org/problems/0-1-knapsack-problem0945/1,
,,Q. Coin Change 1,https://leetcode.com/problems/coin-change/description/,
,,Q. Coin Change 2,https://leetcode.com/problems/coin-change-ii/description/,
,,Q. Rod Cutting Problem,https://www.geeksforgeeks.org/problems/rod-cutting0840/1,
,,Q. Longest Common Subsequence,https://leetcode.com/problems/longest-common-subsequence/description/,
,,Q. Longest Palindromic Subsequence,https://leetcode.com/problems/longest-palindromic-subsequence/description/,
,,Q. Longest Increasing Subsequence,https://leetcode.com/problems/longest-increasing-subsequence/description/,
,,Q. Maximum Length of pair chain,https://leetcode.com/problems/maximum-length-of-pair-chain/description/,
,,Q. Unique Paths 1,https://leetcode.com/problems/unique-paths/description/,
,,Q. Unique Paths 2,https://leetcode.com/problems/unique-paths-ii/description/,
