index,questionNo,title,difficulty,acceptance,link,youtubeLink
84,1395',Count Number of Teams',Medium',70.1%',https://leetcode.com/problems/count-number-of-teams',https://youtu.be/fsqo6zjFtf0?si=MCA6rOunsSf6iGGP
85,1894',Find the Student that Will Replace the Chalk',Medium',53.2%',https://leetcode.com/problems/find-the-student-that-will-replace-the-chalk',https://youtu.be/oPvdV0xf08k?si=0cC1P3ooLw5InV92
86,2028',Find Missing Observations',Medium',57.4%',https://leetcode.com/problems/find-missing-observations',https://youtu.be/eOw4P-aguvs?si=CxKZtAveKmGOuJDK
87,2807',Insert Greatest Common Divisors in Linked List',Medium',91.4%',https://leetcode.com/problems/insert-greatest-common-divisors-in-linked-list',https://youtu.be/tafxWyr8KYQ?si=g0WZmi2zg1RRM669
88,1171',Remove Zero Sum Consecutive Nodes from Linked List',Medium',53.0%',https://leetcode.com/problems/remove-zero-sum-consecutive-nodes-from-linked-list',https://youtu.be/TKhj7o_bRVE?si=nOa6Ig2LCQ_plz_y
89,1669',Merge In Between Linked Lists',Medium',82.8%',https://leetcode.com/problems/merge-in-between-linked-lists',https://youtu.be/MfwJyOTPtks?si=L64psFoAXFuYNLtX
90,206',Reverse Linked List',Easy',80.0%',https://leetcode.com/problems/reverse-linked-list',https://youtu.be/8cSRFGYrYb0?si=RLNhLGa1QGK6bzec
91,92',Reverse Linked List II',Medium',50.7%',https://leetcode.com/problems/reverse-linked-list-ii',TBD
92,19',Remove Nth Node From End of List',Medium',50.5%',https://leetcode.com/problems/remove-nth-node-from-end-of-list',https://youtu.be/cDT6EkBhn_0?si=MbJn7d8ex93DDp97
93,2816',Double a Number Represented as a Linked List',Medium',61.2%',https://leetcode.com/problems/double-a-number-represented-as-a-linked-list',https://youtu.be/YVqrwZKvj5o?si=5VoYejXrRhD0cWMH
94,1367',Linked List in Binary Tree',Medium',51.9%',https://leetcode.com/problems/linked-list-in-binary-tree',https://youtu.be/k6IS-AAZVwQ?si=yHcjVQKHw7FkoLNP
95,54',Spiral Matrix',Medium',55.6%',https://leetcode.com/problems/spiral-matrix',TBD
96,59',Spiral Matrix II',Medium',74.4%',https://leetcode.com/problems/spiral-matrix-ii',TBD
97,885',Spiral Matrix III',Medium',84.6%',https://leetcode.com/problems/spiral-matrix-iii',https://youtu.be/f5m5JdTsL3Y?si=Dl3DdJzRDYxPuKKN
98,2326',Spiral Matrix IV',Medium',82.3%',https://leetcode.com/problems/spiral-matrix-iv',https://youtu.be/L7ZAhNHxynE?si=hVCFt0njDStRc5Vk
99,840',Magic Squares In Grid',Medium',51.6%',https://leetcode.com/problems/magic-squares-in-grid',https://youtu.be/LHqrUs_yZWY?si=pOPRMKe9RNDsjq6s
100,2416',Sum of Prefix Scores of Strings',Hard',60.8%',https://leetcode.com/problems/sum-of-prefix-scores-of-strings',https://youtu.be/aq03P5fAFYY?si=g6ryzbWojmVg-rMH
